Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	HCA_C_1 Spectral Count	HCA_C_2 Spectral Count	HCA_C_3 Spectral Count	HCA_I_1 Spectral Count	HCA_I_2 Spectral Count	HCA_I_3 Spectral Count	HCA_K_1 Spectral Count	HCA_K_2 Spectral Count	HCA_M_1 Spectral Count	HCA_M_2 Spectral Count	HIT_C_1 Spectral Count	HIT_C_2 Spectral Count	HIT_C_3 Spectral Count	HIT_I_1 Spectral Count	HIT_I_2 Spectral Count	HIT_I_3 Spectral Count	HIT_K_1 Spectral Count	HIT_K_2 Spectral Count	HIT_K_3 Spectral Count	HIT_M_1 Spectral Count	HIT_M_2 Spectral Count	HIT_M_3 Spectral Count	HCA_C_1 Unique Spectral Count	HCA_C_2 Unique Spectral Count	HCA_C_3 Unique Spectral Count	HCA_I_1 Unique Spectral Count	HCA_I_2 Unique Spectral Count	HCA_I_3 Unique Spectral Count	HCA_K_1 Unique Spectral Count	HCA_K_2 Unique Spectral Count	HCA_M_1 Unique Spectral Count	HCA_M_2 Unique Spectral Count	HIT_C_1 Unique Spectral Count	HIT_C_2 Unique Spectral Count	HIT_C_3 Unique Spectral Count	HIT_I_1 Unique Spectral Count	HIT_I_2 Unique Spectral Count	HIT_I_3 Unique Spectral Count	HIT_K_1 Unique Spectral Count	HIT_K_2 Unique Spectral Count	HIT_K_3 Unique Spectral Count	HIT_M_1 Unique Spectral Count	HIT_M_2 Unique Spectral Count	HIT_M_3 Unique Spectral Count	HCA_C_1 Total Spectral Count	HCA_C_2 Total Spectral Count	HCA_C_3 Total Spectral Count	HCA_I_1 Total Spectral Count	HCA_I_2 Total Spectral Count	HCA_I_3 Total Spectral Count	HCA_K_1 Total Spectral Count	HCA_K_2 Total Spectral Count	HCA_M_1 Total Spectral Count	HCA_M_2 Total Spectral Count	HIT_C_1 Total Spectral Count	HIT_C_2 Total Spectral Count	HIT_C_3 Total Spectral Count	HIT_I_1 Total Spectral Count	HIT_I_2 Total Spectral Count	HIT_I_3 Total Spectral Count	HIT_K_1 Total Spectral Count	HIT_K_2 Total Spectral Count	HIT_K_3 Total Spectral Count	HIT_M_1 Total Spectral Count	HIT_M_2 Total Spectral Count	HIT_M_3 Total Spectral Count	HCA_C_1 Intensity	HCA_C_2 Intensity	HCA_C_3 Intensity	HCA_I_1 Intensity	HCA_I_2 Intensity	HCA_I_3 Intensity	HCA_K_1 Intensity	HCA_K_2 Intensity	HCA_M_1 Intensity	HCA_M_2 Intensity	HIT_C_1 Intensity	HIT_C_2 Intensity	HIT_C_3 Intensity	HIT_I_1 Intensity	HIT_I_2 Intensity	HIT_I_3 Intensity	HIT_K_1 Intensity	HIT_K_2 Intensity	HIT_K_3 Intensity	HIT_M_1 Intensity	HIT_M_2 Intensity	HIT_M_3 Intensity	HCA_C_1 MaxLFQ Intensity	HCA_C_2 MaxLFQ Intensity	HCA_C_3 MaxLFQ Intensity	HCA_I_1 MaxLFQ Intensity	HCA_I_2 MaxLFQ Intensity	HCA_I_3 MaxLFQ Intensity	HCA_K_1 MaxLFQ Intensity	HCA_K_2 MaxLFQ Intensity	HCA_M_1 MaxLFQ Intensity	HCA_M_2 MaxLFQ Intensity	HIT_C_1 MaxLFQ Intensity	HIT_C_2 MaxLFQ Intensity	HIT_C_3 MaxLFQ Intensity	HIT_I_1 MaxLFQ Intensity	HIT_I_2 MaxLFQ Intensity	HIT_I_3 MaxLFQ Intensity	HIT_K_1 MaxLFQ Intensity	HIT_K_2 MaxLFQ Intensity	HIT_K_3 MaxLFQ Intensity	HIT_M_1 MaxLFQ Intensity	HIT_M_2 MaxLFQ Intensity	HIT_M_3 MaxLFQ Intensity	Indistinguishable Proteins
A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-9	0.8905	0.999	1	13	0	13	0	0	0	0	1	4	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	23970.094	27699.08	21081.902	0.0	38787.266	30942.686	0.0	14295.26	0.0	0.0	24295.713	29502.451	0.0	0.0	4614.6396	0.0	0.0	2869.4214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P80748|LV321_HUMAN
A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	0.8905	0.999	1	18	0	18	1	3	2	0	2	2	0	3	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	2	2	0	3	0	0	1	1	0	0	0	0	0	3	0	0	0	0	43964.94	54913.387	45865.19	0.0	70211.08	61133.234	0.0	29625.014	0.0	0.0	33553.72	41249.188	0.0	4477.4565	4600.0176	0.0	0.0	42033.27	1613.4927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A0A075B6S2|KVD29_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|P01614|KVD40_HUMAN, sp|P01615|KVD28_HUMAN, sp|P06310|KV230_HUMAN
A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-11	0.8561	0.9986	1	5	0	5	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	10067.026	29167.803	0.0	0.0	24420.086	26588.076	0.0	0.0	0.0	0.0	20422.686	30859.514	0.0	5790.384	4044.2603	953.1803	0.0	4446.285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P04433|KV311_HUMAN
A0A0B4J1V1|HV321_HUMAN	A0A0B4J1V1	HV321_HUMAN	IGHV3-21	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-21	0.9503	0.9987	2	5	0	7	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16468.174	33846.645	24648.305	0.0	34351.3	46414.914	0.0	0.0	0.0	0.0	23974.154	29482.783	7907.5254	0.0	0.0	0.0	0.0	1894.5735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P01762|HV311_HUMAN, sp|P01763|HV348_HUMAN, sp|P01780|HV307_HUMAN
A0A0B4J1X5|HV374_HUMAN	A0A0B4J1X5	HV374_HUMAN	IGHV3-74	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-74	0.9805	0.999	2	7	0	7	0	0	2	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	60378.633	80696.35	57984.42	0.0	82969.94	100872.25	0.0	0.0	0.0	0.0	51638.547	54335.7	7817.105	0.0	0.0	0.0	0.0	20477.143	0.0	0.0	0.0	0.0	45825.13	59655.74	41861.508	0.0	62536.336	76676.32	0.0	0.0	0.0	0.0	35698.12	18289.328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A0A0C4DH42|HV366_HUMAN, sp|P01767|HV353_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN
A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	13	178	0	178	15	12	9	2	3	3	8	5	3	2	17	8	12	14	8	12	9	19	7	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	12	9	2	3	3	8	5	3	2	17	8	12	14	8	12	9	19	7	6	1	3	272924.0	386159.66	291194.28	43011.105	149887.55	226476.89	121176.266	62083.227	78074.69	56604.99	164563.75	222824.27	279621.5	133863.25	130686.3	169701.86	130753.266	209470.16	182462.36	134040.36	21954.438	86521.81	66957.07	97016.914	103357.62	0.0	35080.24	60146.445	68896.44	39601.74	65472.9	48596.547	32963.902	56057.29	72867.56	32811.51	27887.326	32993.0	83691.836	49993.113	48359.695	42344.27	0.0	41441.902	sp|P0DPI2|GAL3A_HUMAN
A0A0C4DH31|HV118_HUMAN	A0A0C4DH31	HV118_HUMAN	IGHV1-18	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-18	0.8863	0.999	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10766.482	0.0	3488.874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
A0A0C4DH69|KV109_HUMAN	A0A0C4DH69	KV109_HUMAN	IGKV1-9	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-9	0.9948	0.999	2	3	1	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	18184.277	0.0	0.0	0.0	0.0	9367.802	4528.482	13275.841	0.0	0.0	0.0	0.0	0.0	816.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
A0A0U1RRE5|NBDY_HUMAN	A0A0U1RRE5	NBDY_HUMAN	NBDY	68	Homo sapiens	1:Experimental evidence at protein level	Negative regulator of P-body association	0.8884	0.999	1	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3756.882	0.0	0.0	3324.959	17813.592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	0.9962	0.999	2	18	18	18	1	0	1	0	0	0	0	1	0	1	2	2	2	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	2	2	2	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	2	2	2	1	1	0	1	1	1	1	1	1	30432.479	37085.883	25356.34	0.0	24449.785	27298.668	0.0	24107.344	24082.217	30117.29	54206.945	56337.332	63208.453	35659.65	37466.047	39443.773	20794.307	53421.805	48957.445	48598.805	19779.098	17703.666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31046.822	32141.723	34985.688	20531.084	21612.54	22681.006	0.0	30014.707	27163.912	28008.39	0.0	0.0	
