Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) HCA_K2,Coverage (%) HCA_K4,Coverage (%) HCA_K6,Coverage (%) HCA_M2,Coverage (%) HCA_M4,Coverage (%) HCA_M6,Coverage (%) HCA_C2,Coverage (%) HCA_C4,Coverage (%) HCA_C6,Coverage (%) HCA_i2,Coverage (%) HCA_i4,Coverage (%) HCA_i6,Area HCA_K2,Area HCA_K4,Area HCA_K6,Area HCA_M2,Area HCA_M4,Area HCA_M6,Area HCA_C2,Area HCA_C4,Area HCA_C6,Area HCA_i2,Area HCA_i4,Area HCA_i6,#Peptides,#Unique,#Spec HCA_K2,#Spec HCA_K4,#Spec HCA_K6,#Spec HCA_M2,#Spec HCA_M4,#Spec HCA_M6,#Spec HCA_C2,#Spec HCA_C4,#Spec HCA_C6,#Spec HCA_i2,#Spec HCA_i4,#Spec HCA_i6,PTM,Avg. Mass,Description
22,277,P04275|VWF_HUMAN,673.66,61,29,31,29,39,39,41,52,52,55,49,48,50,3.0169E5,3.5296E5,3.1133E5,5.2481E5,5.1309E5,5.5176E5,1.8337E6,1.8189E6,1.8774E6,1.3538E6,1.4151E6,9.2516E5,125,125,227,254,235,318,332,368,768,774,801,664,698,556,Carbamidomethylation; Oxidation (M); Deamidation (NQ),309262,von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4
8,242,P98160|PGBM_HUMAN,658.22,61,40,45,41,38,38,46,57,56,59,56,54,55,5.7461E5,6.4636E5,5.8892E5,4.7128E5,4.9306E5,6.839E5,3.0682E6,3.0765E6,3.3735E6,2.0326E6,2.1005E6,1.6776E6,173,173,446,513,486,447,457,537,1350,1279,1422,986,1015,989,Carbamidomethylation; Oxidation (M); Deamidation (NQ),468835,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4
6,265,Q09666|AHNK_HUMAN,641.25,59,54,53,51,56,52,55,32,32,31,40,40,36,3.3224E6,2.567E6,2.3563E6,3.4033E6,2.7216E6,2.7208E6,4.421E5,5.1803E5,4.708E5,8.2472E5,7.9569E5,5.4815E5,309,309,1438,1257,1193,1482,1338,1288,480,459,522,675,695,549,Carbamidomethylation; Oxidation (M); Deamidation (NQ),629114,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2
5,104,O75369|FLNB_HUMAN,635.42,77,63,66,63,73,70,72,68,69,70,71,70,67,2.3088E6,2.2931E6,2.2994E6,3.1315E6,3.2902E6,3.2103E6,2.149E6,2.1244E6,2.2363E6,2.721E6,2.7441E6,2.1962E6,169,156,835,873,915,1017,1041,1051,892,956,958,1033,994,998,Carbamidomethylation; Oxidation (M); Deamidation (NQ),278162,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2
10,60,Q15149|PLEC_HUMAN,628.73,62,42,45,49,52,57,54,43,45,45,46,47,45,6.1998E5,7.7717E5,7.7779E5,1.0023E6,1.4153E6,1.2867E6,6.4201E5,6.7131E5,6.9196E5,8.5757E5,9.0935E5,5.7738E5,279,272,553,647,644,763,908,830,637,611,676,681,737,630,Carbamidomethylation; Oxidation (M); Deamidation (NQ),531796,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3
7,174,P21333|FLNA_HUMAN,617.43,70,63,61,62,67,64,63,57,61,61,63,64,63,1.8603E6,1.8753E6,1.8754E6,2.5528E6,2.5315E6,2.5638E6,1.723E6,1.7234E6,1.7963E6,2.0654E6,2.0805E6,1.6584E6,153,140,764,754,835,920,905,978,785,809,832,838,822,771,Carbamidomethylation; Oxidation (M); Deamidation (NQ),280737,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4
12,82,P35579|MYH9_HUMAN,604.43,66,55,55,56,58,58,60,61,63,62,60,60,58,6.2959E5,6.0304E5,5.9965E5,5.9978E5,6.6302E5,7.7246E5,1.3497E6,1.4313E6,1.2916E6,1.1263E6,1.1143E6,7.4948E5,152,126,465,439,449,484,512,573,794,838,729,685,660,588,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),226530,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4
19,170,Q14204|DYHC1_HUMAN,597.23,56,31,42,41,45,51,48,36,37,36,39,41,32,3.1645E5,4.4959E5,4.5311E5,5.5353E5,8.2776E5,7.1355E5,3.1017E5,3.4051E5,3.4212E5,3.7105E5,4.218E5,2.2361E5,201,201,371,563,515,583,734,698,466,488,482,496,555,397,Carbamidomethylation; Deamidation (NQ),532412,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5
14,100,Q9Y490|TLN1_HUMAN,594.70,71,60,59,60,63,64,64,59,61,61,60,59,58,7.1144E5,8.7664E5,8.7254E5,1.0909E6,1.2075E6,1.2833E6,9.2581E5,8.9396E5,8.7184E5,1.0355E6,9.5724E5,6.8023E5,133,121,507,492,503,626,633,677,590,578,611,584,560,575,Carbamidomethylation; Oxidation (M); Deamidation (NQ),269765,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3
9,3,P04406|G3P_HUMAN,575.41,91,90,90,90,91,90,84,88,88,84,86,88,85,6.3736E6,6.3605E6,6.2943E6,5.0128E6,5.7596E6,5.4336E6,2.8428E6,2.9347E6,2.9099E6,3.4161E6,4.1392E6,3.1987E6,35,35,971,995,1073,821,882,846,621,615,616,682,721,696,Carbamidomethylation; Oxidation (M); Deamidation (NQ),36053,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3
