Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) HIT_K2,Coverage (%) HIT_K4,Coverage (%) HIT_K6,Coverage (%) HIT_M2,Coverage (%) HIT_M4,Coverage (%) HIT_M6,Coverage (%) HIT_C2,Coverage (%) HIT_C4,Coverage (%) HIT_C6,Coverage (%) HIT_i2,Coverage (%) HIT_i4,Coverage (%) HIT_i6,Area HIT_K2,Area HIT_K4,Area HIT_K6,Area HIT_M2,Area HIT_M4,Area HIT_M6,Area HIT_C2,Area HIT_C4,Area HIT_C6,Area HIT_i2,Area HIT_i4,Area HIT_i6,#Peptides,#Unique,#Spec HIT_K2,#Spec HIT_K4,#Spec HIT_K6,#Spec HIT_M2,#Spec HIT_M4,#Spec HIT_M6,#Spec HIT_C2,#Spec HIT_C4,#Spec HIT_C6,#Spec HIT_i2,#Spec HIT_i4,#Spec HIT_i6,PTM,Avg. Mass,Description
9,253,P98160|PGBM_HUMAN,656.40,61,35,41,42,39,38,38,58,58,58,50,49,47,2.7635E5,4.2936E5,4.4947E5,2.8731E5,3.6289E5,4.4057E5,3.1469E6,2.7651E6,3.4725E6,1.2224E6,1.122E6,8.5194E5,178,178,311,422,456,389,400,389,1311,1282,1340,739,717,586,Carbamidomethylation; Oxidation (M); Deamidation (NQ),468835,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4
2,254,Q09666|AHNK_HUMAN,654.55,60,50,54,53,53,53,52,45,44,42,52,47,49,2.2813E6,2.4648E6,2.3522E6,2.0985E6,2.5082E6,2.7954E6,1.7064E6,1.1759E6,1.3043E6,2.148E6,1.9344E6,2.3415E6,321,321,1220,1259,1239,1343,1340,1235,833,779,783,1173,1013,1113,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),629114,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2
10,265,P04275|VWF_HUMAN,645.59,62,47,50,53,46,50,50,56,52,57,52,49,41,1.2971E6,1.5577E6,1.8437E6,1.1103E6,1.4503E6,1.9472E6,2.6689E6,1.9131E6,2.9378E6,1.9136E6,1.3446E6,1.0646E6,131,131,526,685,777,529,627,708,901,826,959,706,602,478,Carbamidomethylation; Oxidation (M); Deamidation (NQ),309262,von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4
11,49,Q15149|PLEC_HUMAN,637.28,63,42,46,49,39,46,53,49,45,52,50,45,39,5.8886E5,7.9905E5,1.0473E6,3.7281E5,7.0066E5,1.4025E6,8.6596E5,6.3538E5,1.0014E6,9.613E5,6.4769E5,4.8495E5,276,268,541,642,779,484,648,824,715,669,733,762,579,492,Carbamidomethylation; Deamidation (NQ),531796,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3
5,108,O75369|FLNB_HUMAN,636.71,75,68,69,68,69,70,65,69,72,68,70,68,66,2.4854E6,2.6981E6,2.9101E6,2.1639E6,2.6636E6,3.3094E6,2.1982E6,1.8636E6,2.2126E6,2.3957E6,1.9295E6,1.6183E6,165,154,933,978,1033,954,1034,1053,900,886,915,944,888,787,Carbamidomethylation; Oxidation (M); Deamidation (NQ),278162,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2
12,62,P35579|MYH9_HUMAN,617.58,68,57,58,58,55,54,54,63,61,66,62,61,56,7.5901E5,7.4506E5,7.212E5,4.2681E5,4.9227E5,8.4645E5,1.6454E6,1.4534E6,2.5358E6,1.7212E6,1.1435E6,1.1046E6,164,144,488,477,510,401,420,497,826,789,943,739,615,577,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),226530,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4
6,132,P21333|FLNA_HUMAN,613.87,74,63,63,67,65,67,64,59,61,61,63,60,61,2.206E6,2.3936E6,2.621E6,2.032E6,2.4821E6,3.0298E6,2.0093E6,1.7371E6,2.1939E6,2.0827E6,1.6548E6,1.4289E6,150,140,901,922,969,874,960,950,868,820,872,833,817,715,Carbamidomethylation; Oxidation (M); Deamidation (NQ),280737,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4
17,157,Q9Y490|TLN1_HUMAN,593.08,69,59,60,58,53,56,62,60,57,62,64,57,53,6.4207E5,8.6516E5,9.1203E5,4.753E5,7.4239E5,1.1425E6,9.5509E5,6.9529E5,1.0036E6,1.0184E6,6.6923E5,5.1504E5,130,130,464,558,551,415,545,592,594,508,601,574,487,376,Carbamidomethylation; Deamidation (NQ),269765,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3
19,161,Q14204|DYHC1_HUMAN,592.67,58,39,43,50,31,42,48,43,39,46,36,28,18,3.654E5,5.3469E5,7.411E5,2.1231E5,4.9716E5,9.4578E5,5.1551E5,3.5503E5,5.9511E5,3.4115E5,1.9911E5,9.2379E4,204,204,464,595,662,387,575,696,635,506,646,492,339,211,Carbamidomethylation; Deamidation (NQ),532412,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5
7,2,P04406|G3P_HUMAN,583.50,92,90,90,88,86,88,88,91,92,90,90,90,90,5.7041E6,5.7829E6,5.1576E6,6.1211E6,6.3187E6,5.514E6,3.057E6,2.9068E6,3.3502E6,5.533E6,4.7008E6,5.3178E6,36,36,894,878,780,938,895,803,649,634,633,916,848,908,Carbamidomethylation; Oxidation (M); Deamidation (NQ),36053,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3
